age,monthly_income,employment_status,num_loans,num_defaults,num_paid_loans,on_time_payment_rate,num_vouches,num_savings,total_saved,is_verified,num_mobile_accounts,loan_amount,loan_duration_days,target
63,497435,3,6,1,5,0.76,1,17,1271,0,1,197188,60,1
39,453736,3,10,3,7,0.93,7,12,157332,1,2,409173,180,0
43,164470,0,9,2,7,0.81,6,13,29303,0,1,290485,30,0
49,268695,1,10,0,10,0.97,6,4,108978,0,2,191393,180,0
45,174695,1,7,3,4,0.92,1,16,3832,1,2,250072,60,1
25,419828,0,6,3,3,0.76,0,0,157483,0,2,333865,90,0
39,189905,0,10,1,9,0.58,6,5,116254,0,0,444103,30,0
58,256960,3,1,1,0,0.79,0,6,171692,1,2,149883,60,0
59,450255,3,1,0,1,0.95,5,19,173078,0,0,160203,90,0
63,352450,0,9,2,7,0.91,3,11,42978,0,2,115366,30,0
48,181724,2,4,1,3,0.63,4,12,22923,0,1,119054,180,0
56,400531,1,6,1,5,0.54,6,10,183989,1,0,185555,30,0
64,53503,3,8,3,5,0.72,2,14,17275,1,2,90003,30,0
60,128570,1,6,3,3,0.85,0,16,76403,0,0,221650,30,0
44,318991,2,10,3,7,0.83,5,18,74147,0,0,407693,30,0
35,43797,1,10,1,9,0.75,7,14,185205,1,1,172233,90,0
56,262887,3,2,0,2,0.96,6,10,157631,0,0,480390,30,0
39,183264,0,7,0,7,0.82,2,10,180140,1,2,265608,30,1
28,192792,3,7,0,7,0.77,2,2,72848,0,1,89206,30,0
46,37067,3,6,0,6,0.9,0,0,60232,1,0,412409,60,0
43,282423,0,4,1,3,0.67,7,17,67125,0,0,463762,90,0
23,292186,0,1,1,0,0.71,2,0,62277,1,1,296734,60,0
61,463767,1,8,2,6,0.89,7,0,151001,1,1,88197,60,1
22,379572,2,9,1,8,0.63,3,5,80390,1,1,235149,180,0
40,186758,1,9,0,9,0.69,1,7,188843,0,1,263355,60,0
37,89400,1,1,0,1,0.98,0,16,199869,0,1,321979,60,0
56,353296,0,2,1,1,1.0,2,19,110240,1,2,175313,60,0
20,428507,0,9,0,9,0.68,5,4,185520,1,0,62455,60,0
28,292912,1,2,2,0,0.88,6,3,65994,1,2,263915,30,0
53,83729,3,8,0,8,0.51,7,19,76613,0,2,478222,60,0
65,109694,3,9,1,8,0.67,4,19,177935,0,0,23494,90,0
36,112167,2,6,3,3,0.95,3,13,179663,0,1,92390,90,0
40,26901,0,9,2,7,0.59,3,3,185342,0,1,395388,90,0
21,492244,3,7,2,5,0.54,1,5,91647,0,2,46476,180,0
65,287617,1,7,0,7,0.51,4,2,196340,1,0,407614,60,0
34,385934,0,0,0,0,0.53,7,3,56953,0,2,7896,90,1
32,192209,2,2,2,0,0.63,6,15,65072,1,1,173333,60,1
37,451790,0,4,2,2,0.86,2,18,168237,0,0,494886,60,1
29,165691,2,6,3,3,0.89,5,20,184497,1,0,340540,180,0
63,130166,3,2,2,0,0.74,1,12,149470,1,2,420467,180,0
46,180183,1,5,1,4,0.86,1,19,110922,1,2,122826,30,0
64,54451,0,4,0,4,0.63,0,15,85953,1,0,5375,60,0
58,269286,0,0,0,0,0.86,3,20,184387,0,2,22111,30,1
48,274978,3,4,1,3,0.76,1,12,66690,1,1,160058,60,0
57,76886,0,1,1,0,0.7,3,20,86155,1,2,295418,60,0
52,378437,0,3,3,0,0.59,1,7,63317,1,1,132011,60,1
56,456303,2,8,0,8,0.76,1,5,98565,0,2,478579,60,0
36,96187,3,1,1,0,0.85,3,15,125647,0,2,250030,30,1
64,309336,3,4,3,1,0.84,6,5,165624,1,2,354311,90,0
37,80446,0,2,0,2,0.71,5,20,89167,0,2,413707,60,1
32,164987,3,5,3,2,0.85,1,20,115596,0,0,47977,180,0
22,108933,1,7,1,6,0.66,0,14,22976,0,1,98424,30,0
40,223790,1,5,0,5,0.8,0,15,167019,0,2,267499,90,0
47,315453,2,6,1,5,0.75,0,9,76061,0,0,249828,90,1
26,129857,0,0,0,0,0.73,5,3,33109,0,2,398022,60,0
43,436724,1,8,0,8,0.84,3,19,75229,0,2,430439,60,0
41,182609,0,7,0,7,0.79,2,19,198298,0,1,439778,180,0
22,366839,3,8,1,7,0.82,5,16,49687,1,2,171025,30,0
18,347602,2,10,2,8,0.54,7,10,189969,1,1,402864,60,0
45,366569,3,10,2,8,0.88,5,12,11530,0,2,117428,90,0
50,122825,0,6,2,4,0.52,4,5,188841,1,2,170122,180,0
33,438143,3,6,3,3,0.78,1,6,150821,0,1,32121,30,0
64,396651,1,10,2,8,0.92,4,4,45011,0,2,407830,180,0
25,61202,0,7,2,5,0.73,5,4,180444,0,1,399568,180,1
63,493362,1,6,1,5,0.92,7,8,159179,1,1,288594,30,0
64,27495,1,10,1,9,0.7,5,20,43302,0,1,343577,90,0
24,193179,1,1,1,0,0.89,1,9,164744,0,0,126622,180,0
50,373638,1,6,3,3,0.67,3,7,85940,0,0,337001,60,1
23,118046,1,7,3,4,0.7,7,15,1016,1,1,266928,60,0
27,126823,0,10,3,7,0.99,7,17,102315,0,1,149421,180,1
29,446840,1,0,0,0,0.95,0,6,302,0,1,15910,180,0
40,262676,1,0,0,0,0.96,5,11,163543,0,0,90441,90,0
32,74861,2,4,1,3,0.9,6,6,4958,0,1,17817,180,0
51,130606,1,6,3,3,0.77,2,17,102199,1,1,499756,60,1
52,77096,3,1,0,1,0.82,0,4,95931,1,1,411358,180,1
27,340134,1,7,3,4,0.63,4,15,167861,1,0,415701,30,0
45,458744,3,9,1,8,0.59,3,16,179837,1,2,106306,30,0
59,209025,2,9,0,9,0.65,3,19,62712,0,0,37865,90,0
19,218946,1,2,2,0,0.87,6,13,27718,0,0,299361,90,0
23,339814,2,1,0,1,0.61,6,1,65615,0,0,316117,90,1
30,104740,1,5,0,5,0.56,6,14,195347,1,1,433069,90,0
62,180723,3,3,2,1,0.98,4,1,39512,0,2,446166,60,1
36,346063,3,1,1,0,0.86,7,3,126593,0,2,98993,90,1
60,48596,0,10,2,8,0.52,5,9,176707,0,2,297910,180,1
33,379862,1,0,0,0,0.97,3,16,57204,0,0,483713,30,0
62,148603,3,8,1,7,0.66,0,2,27235,1,2,440077,90,0
38,193573,3,1,0,1,0.52,4,12,35672,1,1,87029,60,0
18,385058,2,1,1,0,0.59,2,11,199609,0,2,136284,90,0
26,382536,0,0,0,0,0.81,2,18,135357,0,0,485024,60,0
26,124359,1,0,0,0,0.66,5,9,80263,1,2,389287,90,0
40,352802,0,3,1,2,0.95,6,11,173202,1,2,435652,180,0
38,397976,2,5,0,5,0.54,0,1,153184,1,0,70777,30,0
59,473083,3,6,0,6,0.8,4,6,164855,0,0,293880,180,1
35,400864,1,9,2,7,0.8,5,2,71867,0,0,431739,60,1
62,489827,0,5,3,2,0.99,0,8,5522,1,0,77859,90,0
19,319881,0,10,1,9,0.77,2,3,9398,0,1,14238,30,0
35,407326,1,3,3,0,0.72,2,16,75265,1,0,269759,30,0
63,158554,3,9,1,8,0.63,4,18,7002,0,1,156582,180,0
50,93588,0,10,2,8,0.86,3,7,145988,0,0,184471,90,0
33,442891,0,6,1,5,0.8,2,8,27432,0,1,482123,60,1
52,397752,0,4,1,3,0.63,4,6,25298,1,1,348956,60,1
41,109487,3,5,3,2,0.82,7,17,85897,1,1,426174,180,0
43,230332,2,2,0,2,0.97,0,5,111118,1,1,44957,30,1
23,354388,3,10,3,7,0.87,1,8,188964,0,1,57279,180,0
55,91649,2,3,3,0,0.93,6,12,73840,1,2,334280,180,0
18,285440,0,8,2,6,0.76,6,7,122863,0,1,108280,90,0
20,112488,2,9,0,9,0.55,0,15,36621,0,2,313796,60,0
61,24451,2,10,1,9,0.86,4,8,141348,1,0,362508,30,0
41,59367,2,5,1,4,0.56,0,18,66332,0,0,459152,180,0
63,50932,3,9,2,7,0.73,7,18,93588,0,1,446069,90,0
18,280124,1,4,2,2,0.52,0,19,17018,0,1,25361,60,0
33,380748,0,1,1,0,0.87,2,3,47178,0,2,270896,30,0
64,39088,3,10,0,10,0.5,5,14,136666,0,2,316338,90,0
56,303154,1,10,1,9,0.53,3,16,165761,0,2,410310,30,1
31,290067,2,4,0,4,0.9,6,18,43154,1,0,328654,90,1
49,76593,0,0,0,0,0.85,1,5,130163,1,1,496267,30,1
60,148024,0,6,2,4,0.53,7,17,182364,0,2,215317,90,0
57,192258,1,10,2,8,0.58,1,7,78365,1,2,440140,30,0
37,167475,2,0,0,0,0.51,1,7,99789,1,2,450633,90,0
61,146112,0,10,3,7,0.72,6,20,110479,0,2,211863,90,0
42,175037,2,10,3,7,0.88,1,20,58505,1,1,184004,90,0
48,189815,2,0,0,0,0.56,7,16,65036,1,2,364438,60,0
26,276603,2,1,0,1,0.85,3,7,86599,1,2,52462,30,1
37,165862,3,6,0,6,0.61,5,0,10825,0,2,318204,90,1
24,439461,1,7,0,7,0.67,4,0,78460,1,2,200293,30,0
42,79721,2,10,2,8,0.88,6,0,122694,1,2,465758,60,0
32,116239,3,7,0,7,0.62,3,5,37086,0,1,493866,30,0
42,80778,2,6,3,3,0.64,7,16,196266,0,0,236122,60,0
30,321398,3,3,2,1,0.87,0,14,134016,1,0,474336,90,0
62,482155,3,2,1,1,0.89,0,10,83306,1,2,78409,30,0
33,385412,3,5,3,2,0.51,1,12,73086,0,2,476856,30,1
38,434469,0,1,0,1,0.56,1,0,161427,1,1,449360,60,0
28,182613,1,9,1,8,0.6,1,0,178029,0,0,277044,90,0
60,29799,2,4,0,4,0.92,3,2,10940,1,0,418043,60,0
28,112942,1,1,1,0,0.9,5,20,10544,0,1,339567,30,0
40,490077,2,7,1,6,0.52,7,0,137163,1,1,264061,30,1
52,400132,1,10,0,10,0.53,4,8,14317,1,1,195250,30,1
46,403116,3,8,3,5,0.57,5,6,137242,0,1,238897,60,0
40,246131,2,10,1,9,0.64,5,17,110234,0,0,366821,180,0
31,96122,2,0,0,0,0.58,3,6,101801,1,1,358947,180,0
52,483257,0,10,0,10,0.89,0,8,122407,1,0,202577,90,1
27,174837,3,5,2,3,0.92,5,8,178265,0,0,349940,60,1
52,82249,1,6,3,3,0.67,7,4,1445,1,1,163633,60,0
21,137263,0,0,0,0,0.59,3,10,164035,0,2,257542,30,1
34,245481,2,7,3,4,0.85,4,10,98549,1,2,12027,90,0
59,81620,2,1,0,1,0.68,2,2,134521,0,1,170078,60,1
51,254353,1,2,1,1,0.71,3,8,52922,1,2,33121,180,0
57,283159,1,2,1,1,0.53,2,1,145845,1,2,203442,30,0
26,238564,3,7,1,6,0.72,7,14,101671,0,2,197656,90,0
23,389056,1,4,3,1,0.64,1,17,48979,0,1,278712,90,0
25,32326,3,2,2,0,0.53,3,14,33715,0,2,401885,90,0
41,416687,0,5,0,5,0.75,3,7,166855,1,0,332366,90,1
64,123970,2,1,0,1,0.79,0,16,114734,1,0,491579,180,1
30,158703,3,9,1,8,0.54,3,0,83246,1,1,207341,90,0
37,450119,3,5,2,3,0.51,3,7,180822,1,2,26441,30,0
63,55899,1,0,0,0,0.54,5,5,155830,0,1,106681,180,0
63,290744,2,6,1,5,0.58,3,17,87050,0,1,353951,90,0
43,330346,3,6,0,6,0.65,1,17,173637,0,2,128325,60,0
27,353640,2,4,0,4,0.73,4,12,126100,1,2,96065,30,1
65,479663,2,4,1,3,0.69,3,18,114443,0,1,262767,60,0
33,166000,1,6,0,6,1.0,6,6,135191,1,2,434861,180,1
26,320875,0,9,2,7,0.62,6,17,6,0,2,391202,180,0
33,152156,1,8,0,8,0.57,0,8,195231,0,2,32663,30,0
18,30491,2,6,1,5,0.78,2,3,156408,1,0,483412,60,1
30,109062,1,3,1,2,0.89,4,7,154300,0,1,101107,60,0
34,341719,0,1,1,0,0.59,3,2,179902,0,1,140801,180,0
39,427258,3,3,2,1,0.8,6,4,99807,1,0,217587,90,0
29,244626,1,6,3,3,0.78,0,11,93477,1,0,268372,30,0
29,259984,0,1,1,0,0.97,1,12,184168,0,2,357544,60,0
42,327663,1,2,2,0,0.93,7,10,93094,0,1,80825,90,0
44,107120,3,3,3,0,0.64,7,2,27527,0,1,237102,60,0
39,373287,1,6,1,5,0.61,1,10,121380,0,1,52162,60,0
40,468573,0,7,3,4,0.77,3,6,130243,0,1,330628,60,0
41,373191,0,9,1,8,0.76,0,12,137283,1,1,29564,30,0
25,56805,2,2,0,2,0.84,6,7,166685,0,1,481616,180,0
59,59357,2,10,1,9,0.65,1,14,136480,0,2,289811,90,1
29,299286,3,0,0,0,0.82,0,10,80925,1,1,31536,180,1
39,390058,3,1,1,0,0.6,7,15,71108,0,1,194751,180,0
54,34992,1,8,1,7,0.89,6,20,133403,0,0,213510,30,0
30,180448,3,4,3,1,0.69,3,7,38056,0,1,398114,90,0
34,61253,3,3,2,1,0.56,0,19,110247,1,2,209630,60,0
35,87672,3,3,2,1,0.93,2,20,8306,1,2,292525,60,1
38,25771,2,9,1,8,0.85,5,15,34130,1,1,9612,60,0
25,230275,3,4,2,2,0.59,7,7,72075,1,1,376974,180,1
27,202095,1,1,0,1,0.62,0,17,180775,1,1,89267,180,0
62,147471,3,8,0,8,0.95,7,1,84663,0,0,232424,90,0
25,411679,3,1,0,1,0.69,5,3,193279,1,1,419555,30,1
48,343018,0,6,3,3,0.67,3,8,122809,0,0,333009,30,0
35,76784,2,5,2,3,0.86,5,19,163887,0,1,298324,180,0
57,342352,3,3,0,3,0.66,5,17,172627,1,0,444590,30,0
48,377589,1,2,2,0,0.66,1,8,117073,1,0,156484,30,0
41,120389,0,6,2,4,0.8,0,4,81619,1,2,391460,90,0
60,246129,2,9,3,6,0.63,7,18,64964,1,2,479735,60,0
41,168252,2,10,2,8,0.56,0,0,164751,0,1,217325,60,0
43,88008,3,1,1,0,0.67,5,17,115865,0,1,476673,180,0
41,368994,0,8,0,8,0.88,0,18,46267,1,2,110320,90,1
47,246120,1,9,0,9,0.9,3,14,75452,0,1,385496,180,0
58,232934,0,4,0,4,0.7,1,19,133334,0,2,75293,90,1
18,258606,3,10,2,8,0.81,3,14,197203,0,1,301278,30,0
58,228618,2,1,0,1,0.57,1,0,11999,1,2,7547,180,0
23,325556,1,10,0,10,0.68,2,17,126661,1,2,149142,60,0
20,160262,0,3,2,1,0.58,2,20,188436,0,2,415400,180,1
36,346782,2,5,3,2,0.97,6,0,138629,1,1,25330,90,0
33,199359,1,2,0,2,0.53,0,9,58645,0,2,41110,30,0
32,257344,3,10,2,8,0.56,1,9,81868,0,2,112584,180,0
59,278814,3,5,1,4,0.72,2,14,63692,0,2,420697,30,0
49,124641,2,5,3,2,0.69,5,6,183056,0,0,350890,60,0
59,486969,3,9,1,8,0.71,4,18,139126,0,2,117491,60,0
64,267155,1,2,1,1,0.97,5,8,191468,0,0,21506,30,0
54,453337,3,3,3,0,0.53,5,12,41742,0,1,486587,90,0
60,56559,3,5,3,2,0.66,0,3,43804,0,1,407429,60,0
65,71175,0,10,1,9,0.71,0,19,112396,1,2,360021,60,0
44,319077,1,10,2,8,0.94,3,6,70261,0,1,85557,60,0
53,494509,0,2,2,0,0.67,5,3,174642,1,0,109376,90,0
47,55227,2,4,0,4,0.92,4,18,49753,1,0,412135,180,1
33,238056,2,5,3,2,0.75,2,3,177272,1,0,300171,90,0
35,202587,1,8,1,7,0.86,0,5,10252,0,1,202740,30,1
52,250349,2,2,1,1,0.53,6,2,12063,0,1,25517,180,1
37,105295,1,7,0,7,0.57,5,17,110042,1,0,455138,90,0
55,372522,0,7,3,4,0.94,4,17,118242,1,1,124662,60,0
27,187405,3,9,2,7,0.79,3,1,169840,1,0,350940,180,0
27,238249,2,4,0,4,0.58,3,5,151643,1,2,432387,180,1
56,294261,1,2,1,1,0.6,7,13,50741,0,1,298839,180,0
27,169555,2,2,1,1,0.8,7,20,127181,1,1,429210,30,0
31,339148,0,4,2,2,0.55,6,15,58592,1,0,327159,30,0
39,91797,2,0,0,0,0.95,0,2,123621,1,2,243216,90,1
48,414798,0,4,1,3,0.6,6,10,156006,0,1,198693,60,0
25,337348,1,3,2,1,0.61,2,10,536,1,1,499171,90,0
30,258520,1,2,2,0,0.84,7,4,29385,0,0,259349,60,0
33,378778,1,0,0,0,0.88,2,12,194732,1,2,202672,180,1
47,197364,3,8,0,8,0.88,5,10,20282,1,2,183978,90,1
37,364581,1,8,2,6,0.92,5,18,116819,0,2,69481,30,0
37,394111,1,7,1,6,0.89,0,18,111754,1,2,489993,60,0
29,30012,1,7,0,7,0.56,5,3,133210,0,1,467083,60,0
20,224336,3,9,2,7,0.52,1,15,109970,1,1,425157,180,0
61,222812,1,0,0,0,0.6,0,16,150380,1,1,358146,30,0
23,342187,1,7,3,4,0.88,0,4,89882,1,1,261877,90,0
32,104812,3,5,2,3,0.63,3,7,129852,0,1,236725,60,0
38,395957,1,5,3,2,0.94,2,0,38322,1,0,51174,180,0
60,456786,1,1,0,1,0.78,2,4,55061,1,2,316816,180,1
49,261523,3,1,0,1,0.81,3,10,126800,1,2,169579,60,1
64,436526,0,6,1,5,0.7,6,2,191481,1,1,361699,180,0
55,386974,2,9,3,6,0.59,0,19,14579,0,1,428643,30,0
38,174333,1,6,0,6,0.92,6,11,167392,1,0,34852,90,1
36,170154,1,5,1,4,0.68,3,3,194002,1,2,146025,90,0
37,297473,2,6,2,4,0.82,6,13,51092,1,1,375660,90,0
52,255684,0,1,0,1,0.71,5,19,184998,1,1,441125,60,1
22,392385,0,2,2,0,0.87,7,5,144235,1,1,159878,90,0
51,361742,1,5,0,5,0.74,3,20,175492,0,2,482178,60,0
61,24090,2,1,0,1,0.78,3,6,152451,0,0,375100,30,1
60,385183,0,6,0,6,0.81,2,2,78255,1,1,111217,30,1
62,73366,1,3,1,2,0.51,0,7,102485,0,0,70698,30,0
41,463644,1,10,1,9,0.66,3,1,10322,0,1,411163,180,0
23,107647,0,5,1,4,0.61,4,20,78928,1,2,126377,60,0
45,38456,1,5,2,3,0.86,0,9,22204,1,1,432402,90,0
31,235011,2,2,1,1,0.59,5,20,35362,0,1,418148,30,0
60,265910,3,10,3,7,0.99,5,3,173524,1,1,260375,90,0
46,498844,3,2,1,1,0.85,6,0,35,0,0,130398,60,0
51,443274,2,0,0,0,0.6,7,16,113756,1,1,263991,90,0
46,439594,1,1,1,0,0.62,0,6,193782,1,1,439847,180,0
61,29430,3,9,2,7,0.53,0,10,97666,1,2,386511,180,0
42,349497,1,5,0,5,0.97,4,16,56978,0,1,451539,180,0
59,66467,3,3,1,2,0.63,0,16,24685,1,0,98020,90,1
62,449010,2,0,0,0,0.97,6,20,114188,1,2,368716,60,1
20,74639,2,6,3,3,0.8,3,10,80144,1,1,132150,180,1
36,25914,2,10,1,9,0.85,6,9,167142,1,2,329087,180,1
27,65770,1,9,3,6,0.67,5,12,26633,1,2,217195,180,1
62,36357,0,3,0,3,0.59,6,20,70305,1,2,331332,60,0
35,178032,1,0,0,0,0.89,0,12,32619,1,0,199662,180,1
27,355927,3,7,0,7,0.88,1,5,174363,0,1,282702,60,0
63,192769,1,3,3,0,0.66,2,16,86910,0,0,407550,30,0
51,262156,0,6,2,4,0.63,4,15,146095,0,0,248031,30,0
42,420512,3,5,1,4,0.73,0,10,32594,0,1,417375,30,0
60,255348,0,6,0,6,0.6,4,6,8463,1,1,332269,30,0
64,330278,1,8,0,8,0.96,4,9,135184,1,0,115609,90,1
29,227593,1,10,2,8,0.87,1,2,154396,0,1,290830,180,0
34,116223,1,3,0,3,0.98,7,11,118314,0,0,126709,30,0
24,313500,3,3,1,2,0.95,1,13,52680,1,1,387696,30,0
60,43013,1,8,0,8,0.64,5,8,35219,1,2,131617,90,0
43,342206,0,7,2,5,0.82,4,10,68696,1,0,274535,30,1
46,21189,3,4,1,3,0.84,2,10,65037,0,0,283648,60,0
44,306666,2,10,3,7,0.69,2,9,174345,1,1,139460,30,1
21,258849,0,7,1,6,0.82,7,4,17126,1,2,169732,60,1
38,451682,2,9,2,7,0.85,2,4,77922,1,0,360888,30,1
28,281783,2,0,0,0,0.77,4,11,59119,0,1,87914,180,0
18,165003,1,10,0,10,0.96,0,3,39808,0,0,196631,30,0
59,90413,1,2,2,0,0.67,5,3,60681,1,2,86719,90,0
30,108054,2,9,2,7,0.77,6,16,134034,1,0,453838,30,0
59,298079,2,5,3,2,0.98,5,0,144941,0,1,39604,180,0
55,105454,2,5,2,3,0.86,5,15,117209,0,2,339591,60,1
20,209679,3,4,0,4,0.8,4,11,95926,0,0,93166,30,0
58,438094,2,6,2,4,0.5,6,8,73128,0,0,332800,90,0
63,90065,0,5,3,2,0.82,1,3,169427,1,1,494181,180,0
19,388695,1,7,1,6,0.6,5,4,41741,0,2,148429,90,0
29,439510,1,2,2,0,0.98,7,9,72756,0,0,401021,30,1
59,201720,0,0,0,0,0.86,3,0,60449,0,2,244167,180,0
22,425866,3,4,3,1,0.78,7,5,3582,0,2,471403,90,0
65,296808,0,3,0,3,0.53,3,8,133505,0,1,453326,30,1
34,73294,1,4,0,4,0.5,4,18,109591,1,1,251469,180,0
32,431198,3,7,2,5,1.0,6,18,75369,0,0,279982,30,0
40,431710,3,4,0,4,0.59,3,19,165997,0,0,220887,180,0
30,277216,2,3,1,2,0.59,6,5,99929,0,2,246270,180,0
29,216784,2,7,2,5,0.77,3,7,168906,0,1,137088,30,0
59,63940,1,2,1,1,0.52,2,10,12467,1,1,96911,180,1
51,246711,1,2,2,0,0.91,2,12,32191,0,2,281946,60,0
57,226338,2,7,2,5,1.0,2,7,80780,1,1,31276,90,0
22,276162,0,8,0,8,0.71,5,15,177672,1,2,69801,30,1
50,381899,3,8,0,8,0.89,4,1,118400,0,0,457546,60,0
18,37677,2,7,3,4,0.64,2,16,22960,1,0,476650,30,0
46,113977,0,4,3,1,0.53,7,5,16562,1,1,293942,30,1
45,352391,1,5,2,3,0.52,6,19,142159,1,1,106507,90,0
29,147165,2,1,1,0,0.78,3,1,108056,1,0,300765,60,1
61,492921,0,4,3,1,0.54,1,7,106245,0,1,405192,180,1
35,393070,3,8,3,5,0.76,0,3,123262,0,1,108801,60,1
28,465241,0,7,2,5,0.94,4,19,110428,1,2,220678,180,0
63,121239,0,9,3,6,0.74,5,13,147605,0,2,94055,90,0
31,146375,1,10,1,9,0.54,1,3,3824,0,2,419848,30,0
43,338436,2,8,1,7,0.54,1,15,74067,1,1,192264,30,0
64,322053,0,8,3,5,0.93,7,16,53712,1,0,454329,30,0
34,452754,2,9,0,9,0.88,2,17,102555,0,2,417235,60,0
45,305611,2,4,1,3,0.85,1,18,62495,0,2,340212,90,1
22,203209,0,2,0,2,0.63,2,0,131675,1,2,362626,30,0
39,361850,1,0,0,0,0.96,5,4,189635,1,0,14936,90,1
30,242747,3,4,1,3,0.81,7,13,89851,0,1,54106,30,1
53,182921,0,6,1,5,0.95,0,18,145475,1,1,123240,30,0
48,338447,2,9,2,7,1.0,1,19,146472,1,1,497589,30,0
48,368134,0,5,1,4,0.79,7,9,35212,1,1,310161,30,0
60,408158,0,6,1,5,0.54,7,0,101505,1,0,71696,180,0
28,49843,0,0,0,0,0.81,1,17,189808,0,0,148372,30,0
38,127133,1,8,2,6,0.96,7,0,52201,1,1,342053,90,0
33,148268,0,3,1,2,0.56,2,3,70669,1,1,31941,90,1
26,448047,3,5,1,4,0.62,7,13,76405,1,2,145484,90,0
57,422876,2,9,0,9,0.76,0,17,120949,0,2,15059,90,0
45,256324,2,10,2,8,0.88,3,6,154667,0,0,496547,30,0
34,289096,0,9,2,7,0.74,1,5,186009,0,1,494014,60,0
23,243435,2,9,2,7,0.62,6,5,178171,0,2,452653,60,0
53,255658,0,10,2,8,0.76,5,7,4192,0,1,86472,90,0
36,80242,0,4,2,2,0.67,2,10,67233,0,0,190890,60,0
18,330429,0,0,0,0,0.86,1,9,120498,0,0,136207,90,0
63,433651,0,8,2,6,0.74,0,0,147908,1,1,95607,30,0
62,482384,2,0,0,0,0.71,0,8,50587,1,1,432239,60,1
45,34797,3,9,2,7,0.57,0,3,151791,1,2,86065,60,0
43,174882,2,5,0,5,0.72,7,1,67972,1,0,267112,30,1
24,464580,3,9,3,6,0.77,5,6,28669,1,0,233790,30,0
46,197452,2,3,0,3,0.79,1,11,120893,1,0,252425,180,1
42,61062,2,4,3,1,0.69,3,1,57018,1,1,236362,60,0
18,293659,3,5,2,3,0.64,0,11,144524,0,1,65139,90,1
55,58296,0,2,0,2,0.56,5,14,54404,0,0,279029,180,0
63,94695,0,0,0,0,0.63,3,2,41063,0,1,310935,90,0
54,207155,0,6,3,3,0.93,6,3,150073,1,2,492673,180,0
49,180821,1,1,1,0,0.97,0,16,70132,0,2,229875,30,0
62,436565,0,1,1,0,0.71,2,12,92929,1,0,185634,90,1
18,198505,0,0,0,0,0.7,4,8,8033,1,0,307131,30,0
52,300193,3,6,2,4,0.9,6,3,168764,1,2,208176,90,0
42,358140,1,6,3,3,0.6,5,1,85425,0,2,243487,90,1
37,166524,2,1,0,1,0.73,0,18,182362,0,0,325688,30,1
42,491298,1,0,0,0,0.67,0,7,184765,1,2,193467,30,1
21,205168,2,9,1,8,0.58,1,1,184555,1,2,94855,90,0
41,407857,0,4,0,4,0.62,6,19,85951,1,0,117580,90,0
41,441760,1,2,2,0,0.51,3,8,121663,0,0,334514,180,0
51,471780,2,6,0,6,0.67,0,16,60721,1,0,408234,30,1
60,429126,1,6,0,6,0.97,2,14,83652,1,2,496346,60,1
50,132385,2,10,2,8,0.73,6,9,63466,1,1,167995,60,0
46,246971,0,5,0,5,0.57,4,18,14393,1,2,379360,30,0
18,211291,3,9,3,6,0.86,1,17,7123,0,1,120606,30,0
53,422116,0,10,0,10,0.96,5,1,54471,0,0,56203,30,0
53,498160,1,4,2,2,0.7,4,20,124512,1,1,114554,180,0
19,275578,3,0,0,0,0.93,2,8,20518,1,0,33759,60,1
46,291699,0,7,3,4,0.66,4,14,74927,1,0,88960,180,0
48,135864,1,9,2,7,0.53,5,8,83475,1,0,150629,30,1
38,87567,3,9,1,8,0.52,2,14,167790,1,1,433916,30,1
